id,date,product,category,quantity,price,cost,sales,profit
112140,2021-01-03 00:00:00,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,2,16.448,10.8968,32.896,21.999200000000002
112141,2021-01-04 00:00:00,GBC Standard Plastic Binding Systems Combs,Office Supplies,2,3.54,9.027000000000001,7.08,-1.947000000000001
112142,2021-01-04 00:00:00,Avery 508,Office Supplies,3,11.784,7.512300000000001,35.352000000000004,27.839700000000004
112143,2021-01-04 00:00:00,SAFCO Boltless Steel Shelving,Office Supplies,3,272.736,337.5108,818.208,480.69719999999995
112144,2021-01-05 00:00:00,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,3,19.536,14.652000000000001,58.608000000000004,43.956
112145,2021-01-06 00:00:00,Global Deluxe High-Back Manager's Chair,Furniture,9,2573.82,1827.4122000000002,23164.38,21336.967800000002
112146,2021-01-06 00:00:00,Rogers Handheld Barrel Pencil Sharpener,Office Supplies,2,5.48,4.000400000000001,10.96,6.9596
112147,2021-01-06 00:00:00,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,3,12.78,7.5402,38.339999999999996,30.799799999999998
112148,2021-01-06 00:00:00,Ibico Hi-Tech Manual Binding System,Office Supplies,2,609.98,335.48900000000003,1219.96,884.471
112149,2021-01-06 00:00:00,"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,4,31.12,30.8088,124.48,93.6712
112150,2021-01-06 00:00:00,Southworth 25% Cotton Granite Paper & Envelopes,Office Supplies,1,6.54,3.5316,6.54,3.0084
112151,2021-01-06 00:00:00,Xerox 225,Office Supplies,3,19.44,10.1088,58.32000000000001,48.211200000000005
112152,2021-01-06 00:00:00,Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,4,755.96,551.8508,3023.84,2471.9892
112153,2021-01-06 00:00:00,GE 30524EE4,Technology,2,391.98,278.30580000000003,783.96,505.6542
112154,2021-01-07 00:00:00,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,3,76.728,130.4376,230.18399999999997,99.74639999999997
112155,2021-01-07 00:00:00,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,7,10.43,28.6825,73.00999999999999,44.327499999999986
112156,2021-01-09 00:00:00,Newell 312,Office Supplies,2,9.344,8.176,18.688,10.511999999999999
112157,2021-01-09 00:00:00,Memorex Micro Travel Drive 8 GB,Technology,3,31.2,21.45,93.6,72.14999999999999
112158,2021-01-10 00:00:00,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,1,51.94,30.644599999999997,51.94,21.2954
112159,2021-01-10 00:00:00,Avery 482,Office Supplies,1,2.89,1.5317,2.89,1.3583
112160,2021-01-11 00:00:00,"DAX Value U-Channel Document Frames, Easel Back",Furniture,2,9.94,6.858599999999999,19.88,13.0214
112161,2021-01-13 00:00:00,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,3,333.999,330.06960000000004,1001.9970000000001,671.9274
112162,2021-01-13 00:00:00,Global Highback Leather Tilter in Burgundy,Furniture,6,545.94,458.5896000000001,3275.6400000000003,2817.0504
